X,Y,2000-04-08_TPZ,2000-04-08_NDVI,2001-05-13_TPZ,2001-05-13_NDVI,CLC06,CLC06_wiosna,odl_od_morza,InsCalk_2000-04,InsCalk_2001-05
470130,5977080,10.263763,0.305263,21.162415,0.209302,312,4,3235.13525,51.542583,73.076622
477210,5977140,14.85556,0.395973,30.308716,-0.153846,211,3,6028.80566,51.299324,72.889435
477660,5977320,15.332947,0.442424,17.13739,0.482233,211,3,6034.84863,52.198494,73.578003
479040,5977350,19.522644,0.216783,28.410126,0.176471,243,3,6460.87451,51.758682,73.240463
467520,5977620,11.050629,0.296703,20.991333,0.195122,313,4,1644.53638,55.338261,75.978249
479610,5977740,14.695282,0.053435,24.478333,-0.056,242,2,6261.30957,51.126564,72.739502
473730,5977950,12.741516,0.266667,20.799713,0.172414,313,4,4038.87354,48.715176,70.778053
466050,5978100,9.964569,0.117647,18.132019,0.376,311,4,234.307495,46.771576,69.318657
476880,5978130,13.860779,0.493151,16.119171,0.472868,211,3,4986.23096,51.84927,73.311989
468360,5978250,8.223328,0.272727,19.921906,0.157895,312,4,1629.96936,50.153488,71.865768
475020,5978280,18.890503,0.044025,30.750061,-0.045977,211,3,4221.90723,51.648903,73.164665
471960,5978310,9.873444,0.364706,20.879456,0.205128,312,4,2885.30762,52.039165,73.46209
476760,5978340,13.698059,0.534247,16.058533,0.530303,211,3,4747.20947,51.752632,73.238632
468150,5978400,9.861267,0.264368,19.170685,0.276596,312,4,1442.4978,51.367287,72.683632
475680,5978430,17.759003,0.121019,26.30896,0.275362,211,3,4288.21631,51.807419,73.283745
467610,5978460,10.365326,0.134021,18.620331,0.327586,313,4,1123.29871,52.101463,73.508598
470640,5978460,12.583801,0.181818,20.334778,0.08046,313,4,2133.58862,51.716118,73.231316
478380,5978550,21.126312,-0.069444,20.162842,0.513514,211,3,5122.97754,51.771671,73.255295
476940,5978700,21.86377,-0.044025,30.750061,-0.151515,211,3,4483.97168,51.749176,73.23671
476850,5978850,19.781189,0.177305,27.202393,0.180556,231,3,4310.19727,51.744335,73.232231
472620,5978880,10.569824,0.316456,19.607452,0.205479,312,4,2710.1477,52.741432,74.052406
475770,5978910,21.042603,0.132075,28.324677,0.174194,211,3,3862.55103,51.240829,72.848907
473160,5979090,10.34314,0.295455,21.037048,0.232558,313,4,2769.27783,52.68251,73.939285
476370,5979330,15.852264,0.205882,27.191162,0.152778,231,3,3683.28662,51.736408,73.2257
473370,5979450,12.04361,0.242105,20.845032,0.265306,313,4,2518.03491,51.690376,73.224083
471210,5979630,17.379791,0.148936,29.866364,0.121212,211,3,1368.53931,51.131767,72.793304
474990,5979630,19.63974,0.134752,28.97876,0.205674,112,2,2931.56958,51.767693,73.256523
476130,5979630,18.93692,0.357143,29.374603,0.276596,243,3,3320.3916,51.780979,73.261688
478860,5979750,18.842773,0.168675,18.585297,0.46114,211,3,4117.3291,51.764549,73.252182
479160,5979750,20.482025,0.185185,20.540649,0.436242,211,3,4212.19678,51.985062,73.419983
468570,5979780,9.562561,0.136364,19.326599,0.25,311,4,189.736664,49.547806,71.549393
479460,5979960,17.450043,0.268966,21.287781,0.382353,211,3,4117.00147,51.304543,72.89695
471060,5980170,8.856354,0.287356,20.634979,0.180723,312,4,823.77179,50.844757,72.561707
474780,5980230,16.883484,0.228571,25.717438,0.264706,243,3,2296.1272,51.000046,72.640335
474000,5980260,18.383301,0.378049,30.637543,0.197452,211,3,2016.92835,52.429943,73.768219
476190,5980410,12.744598,0.081633,23.565369,0.056911,231,3,2617.05933,51.017208,72.67215
476850,5980470,8.324402,-0.208333,12.019745,-0.37931,512,6,2820.63818,51.722008,73.215439
477540,5980560,9.109161,-0.217391,13.900177,-0.396825,512,6,2968.63599,51.721085,73.214897
473520,5980590,13.319336,0.242105,23.102356,0.173913,311,4,1529.70581,51.72831,73.25367
478080,5980590,18.91452,0.241379,26.036163,0.34375,231,3,3083.58569,51.727421,73.222504
476190,5981070,11.163239,-0.176471,13.431946,-0.38983,512,6,2012.46118,51.716259,73.212128
477660,5981100,9.499756,-0.234043,12.019745,-0.4,512,6,2473.86328,51.715855,73.211891
472710,5981130,9.292755,0.348315,20.334778,0.135802,312,4,713.091858,49.708778,71.699547
475110,5981160,12.881744,0.306122,21.727234,0.208791,313,4,1527.64526,51.970692,73.408768
480210,5981460,13.918427,0.129032,23.1073,0.173554,243,3,3034.00732,52.435875,73.741226
478590,5981610,17.236664,0.253731,24.993347,0.296,231,3,2267.53174,51.701805,73.197968
474150,5981760,12.874451,0.195402,23.539429,0.176471,313,4,646.219788,53.639355,74.694283
473670,5981790,9.298035,0.264368,20.152985,0.223529,313,4,465.72525,49.70937,71.707214
475200,5982240,9.284668,0.357143,20.287842,0.210526,312,4,551.543274,52.507931,73.775528
479820,5982360,16.999481,0.146667,27.342163,0.205882,211,3,2053.41187,51.006424,72.672081
474450,5982420,12.333252,0.177778,19.169678,0.182796,313,4,120,52.867306,74.002831
478740,5982450,12.744598,0.033708,27.639648,-0.152778,231,3,1527.64526,51.350368,72.932907
478830,5982480,17.503937,0.203252,26.741699,0.037594,231,3,1532.35107,51.148293,72.775864
476700,5982600,14.982697,0.215686,22.439331,0.281553,312,4,789.176758,53.233528,74.357056
480030,5983500,14.307434,0.072,25.839569,-0.032258,231,3,1148.25952,51.695797,73.202301
481080,5983620,12.744598,0.153846,23.565369,0.018182,411,5,1516.1134,51.664986,73.177582
481290,5984070,14.695282,0.089109,24.933167,0.035088,411,5,1224.13232,51.690197,73.199074
480000,5984310,16.618195,0.037037,30.308716,-0.137615,112,2,416.773315,51.691296,73.201691
484020,5984700,14.695282,0.115646,25.839569,0.061224,231,3,2322.62793,51.680588,73.191536
483240,5985360,21.838287,0.104,31.6297,0,242,2,1306.9812,51.674248,73.187889
483570,5985420,15.897736,0.221239,26.424469,0.132075,242,2,1571.78247,51.673645,73.187538
483900,5985540,16.235779,0.096154,28.97876,-0.044248,242,2,1842.00977,51.672455,73.186867
483330,5985570,18.137207,0.065574,28.533386,0.017544,242,2,1292.43958,51.672207,73.186714
483720,5985690,12.744598,-0.081081,21.726196,-0.190476,242,2,1630.24536,51.671021,73.186028
452400,5972040,20.756134,0.051852,33.377441,-0.008264,123,1,2997.74927,51.896591,73.313965
451650,5972460,20.012848,0.022556,32.505463,-0.046154,123,1,2899.46558,51.807457,73.268105
463260,5975190,19.265625,0.026087,33.377441,-0.07563,142,2,550.726807,51.787613,73.261192
463410,5975430,16.618195,0.181818,29.866364,0.215385,112,2,432.666168,52.139282,73.528168
474750,5966850,17.379791,0.057471,28.087006,0.089109,231,3,14280.0313,52.25082,73.593636
475710,5972160,13.672028,0.533742,18.213318,0.44898,211,3,10073.2568,52.537006,73.827003
473520,5974080,16.999481,0.258278,18.833923,0.513889,211,3,7352.38721,52.025589,73.44207
476970,5975010,20.108337,0.293233,26.115326,0.220588,211,3,7940.48486,51.630211,73.141647
471570,5979270,19.507446,0.202797,29.748108,0.231884,211,3,1852.24194,51.553802,73.114906
472770,5961930,-999,-999,23.678802,0.236641,411,5,16858.4258,51.901337,73.318565
472230,5962710,-999,-999,25.490601,0.213115,411,5,15909.7607,51.893875,73.314278
472230,5963460,-999,-999,24.933167,-0.009009,411,5,15296.1758,51.880669,73.303322
472890,5963580,-999,-999,19.401367,0.147287,411,5,15571.9648,51.885395,73.309395
471960,5964030,-999,-999,27.639648,-0.078788,411,5,14676.5938,51.811943,73.254066
472230,5964180,-999,-999,27.191162,-0.062937,411,5,14703.0918,51.886372,73.313911
472080,5964420,-999,-999,26.291168,-0.153374,411,5,14420.2979,51.15493,72.75061
473280,5964630,-999,-999,24.933167,0.020134,411,5,14964.5879,52.55769,73.82476
472710,5964810,-999,-999,25.839569,-0.021898,411,5,14472.3184,51.86742,73.295532
474240,5965290,-999,-999,30.750061,-0.017544,112,2,15080.7227,51.963745,73.374069
473820,5965530,-999,-999,18.39917,0.396985,211,3,14621.8535,51.895363,73.331924
473280,5965620,-999,-999,32.941895,0.118881,211,3,14200.7783,51.875526,73.310005
473160,5965710,-999,-999,27.160339,0.260274,211,3,14054.6719,51.884861,73.320969
474660,5965710,-999,-999,30.750061,-0.190083,112,2,15062.3301,51.627773,73.121918
474720,5965890,-999,-999,30.750061,-0.008547,112,2,14968.7676,52.044296,73.430176
472590,5966220,-999,-999,23.785858,0.309353,211,3,13298.0898,51.140255,72.740761
474720,5966310,-999,-999,30.308716,-0.190083,112,2,14654.8691,51.865799,73.302109
474870,5966460,-999,-999,26.161072,0.238095,112,2,14645.9619,51.439865,72.971375
474960,5966700,-999,-999,26.577911,0.147826,112,2,14533.6611,52.572739,73.837151
473880,5966760,-999,-999,26.873077,0.25,112,2,13761.1084,51.708603,73.187904
474060,5966820,-999,-999,22.667419,0.424,112,2,13834.5547,51.193226,72.788017
472590,5966850,-999,-999,21.250275,0.387755,231,3,12818.2881,51.860901,73.299347
474390,5966850,-999,-999,28.97876,-0.05,112,2,14033.6201,51.867363,73.307007
472530,5966940,-999,-999,24.02002,0.163399,242,2,12711.082,51.642731,73.130791
474210,5967030,-999,-999,30.750061,-0.170213,112,2,13779.2783,51.868366,73.309372
473610,5967120,-999,-999,25.996613,0.209302,231,3,13312.2275,51.206123,72.792404
472740,5967180,-999,-999,23.568481,0.242857,231,3,12673.6777,51.177361,72.770172
473880,5967240,-999,-999,27.639648,0.061224,211,3,13401.6748,51.159504,72.761192
472620,5967330,-999,-999,23.556335,0.264706,242,2,12482.0908,51.504162,73.025299
471000,5967510,-999,-999,22.610565,0.232143,243,3,11291.3643,56.582493,76.3246
473400,5967540,-999,-999,25.176117,0.29078,231,3,12857.9668,51.850521,73.291336
471960,5967570,-999,-999,27.93808,0.30719,242,2,11861.5762,52.123993,73.494385
472800,5967600,-999,-999,27.639648,0.18797,243,3,12410.6123,52.133415,73.502426
471240,5967630,-999,-999,28.97876,-0.085106,211,3,11350.5107,51.829361,73.274437
473130,5967900,-999,-999,26.17688,0.248227,211,3,12409.4883,52.52478,73.799545
469740,5967960,-999,-999,19.55191,0.040816,312,4,10177.4756,53.075016,74.179626
471480,5968020,-999,-999,27.639648,0.223881,211,3,11206.877,52.936317,74.149551
458730,5968140,-999,-999,24.478333,-0.081081,411,5,5711.35693,51.632111,73.123169
474600,5968140,-999,-999,25.386902,0.096296,231,3,13175.2266,51.292946,72.859711
469320,5968200,-999,-999,18.932861,0.175,312,4,9743.39746,55.553654,76.014503
457860,5968290,-999,-999,20.799713,-0.139241,411,5,5465.27197,51.841499,73.284286
473640,5968350,-999,-999,26.291138,0.418919,231,3,12431.0098,51.84269,73.286835
473520,5968380,-999,-999,21.858185,0.402985,231,3,12325.3271,51.504227,73.023941
470250,5968470,-999,-999,25.736298,0.364238,211,3,10073.2119,52.116432,73.532242
453660,5968500,-999,-999,26.291168,0.042254,231,3,5862.98535,52.068874,73.460381
467520,5968500,-999,-999,19.165741,0.185185,312,4,8478.59668,55.577049,76.044151
458700,5968560,-999,-999,24.933167,-0.075472,411,5,5292.00342,51.825569,73.268806
