"X","Y","X1999.09.13_TPZ","X1999.09.13_NDVI","X2002.08.20_TPZ","X2002.08.20_NDVI","CLC06","CLC06_p_lato","odl_od_morza","InsCalk_1999.09","InsCalk_2002.08"
471060,5980170,19.92511,0.391304,20.601166,0.368421,312,4,823.77179,47.271301,63.245148
472350,5980200,19.092529,0.559322,20.021729,0.515152,311,4,1422.39233,43.406658,59.743271
476610,5980200,19.16629,-0.12,18.197174,-0.12,512,6,2978.47266,48.167572,64.028633
474240,5980230,25.593384,0.415385,24.664368,0.396226,211,3,2125.13525,49.199551,64.941216
479010,5980380,25.006775,0.445545,24.829468,0.363636,211,3,3567.09961,47.438606,63.381779
478470,5980410,29.17984,0.100917,28.751221,0.019231,211,3,3368.15967,48.000175,63.87928
472020,5980650,20.50058,0.367089,21.894745,0.323529,312,4,872.066528,39.673492,56.426529
477030,5980890,19.16629,-0.142857,18.197174,-0.142857,512,6,2496.49756,48.16053,64.023468
479040,5981310,30.794495,0.033113,30.804626,0.030303,211,3,2704.16357,48.166409,64.031609
473520,5981370,19.5867,0.540984,20.560974,0.510204,311,4,807.774719,50.370098,65.866257
476250,5981730,19.16629,0.096774,19.275238,0.017544,512,6,1426.18372,48.151962,64.017166
479940,5981850,29.17984,0.057971,27.199127,0.153153,211,3,2568.46265,48.186188,64.056252
475830,5981910,18.991394,0.587786,18.917297,0.537037,311,4,1101.45361,48.156433,64.022919
479310,5982090,25.752045,0.333333,25.688416,0.235294,211,3,2080.625,48.126877,63.994122
474390,5982300,19.266663,0.518519,20.206543,0.462366,313,4,212.132034,39.480221,56.15403
475800,5982330,19.185181,0.53719,18.942169,0.524752,311,4,702.281982,48.154224,64.018669
475680,5982420,18.592407,0.566667,20.072571,0.505155,311,4,577.061523,48.074047,63.948147
476430,5982690,20.308105,0.397849,21.840424,0.333333,312,4,603.738342,49.146439,64.900955
478710,5983380,23.002777,0.369565,21.748596,0.350649,312,4,657.951355,48.141537,64.012108
478530,5983770,21.427002,0.354839,23.112122,0.297297,312,4,228.47319,48.068211,63.948345
481140,5983860,23.159668,0.410072,23.672424,0.392157,411,5,1328.49536,48.133389,64.00486
479670,5983980,20.888885,0.528455,20.180664,0.474747,312,4,550.726807,48.135403,64.007614
479130,5984220,21.856903,0.353535,23.9505,0.333333,312,4,94.868332,49.700535,65.381973
482130,5984310,23.80304,0.402985,24.526428,0.431193,411,5,1449.03418,48.610683,64.426155
479640,5984520,22.951202,0.319149,25.99118,0.263158,312,4,67.082039,48.759151,64.560318
483570,5984640,21.104584,0.463087,21.238708,0.474576,411,5,2015.36597,48.122181,63.995369
481710,5984760,20.830109,0.454545,20.284668,0.44186,312,4,859.069275,48.127426,64.001762
482430,5984970,21.583893,0.380952,21.172089,0.342105,312,4,1015.13544,47.914356,63.812248
481620,5985030,21.608887,0.376344,22.369843,0.341772,312,4,577.061523,48.851624,64.641365
481620,5985330,18.115326,-0.227273,18.212067,-0.190476,512,6,308.868896,48.115135,63.990173
464520,5968950,20.208618,0.475728,18.243378,0.431818,313,4,6679.49853,46.674255,62.358578
471180,5969820,20.481262,0.377358,20.363312,0.41573,313,4,9680.52148,42.108788,58.452393
455730,5972700,21.274628,0.363636,21.172089,0.333333,312,4,1243.10095,48.261097,64.103439
455730,5972850,20.994995,0.348315,21.791351,0.351351,312,4,1100.22729,48.417484,64.242279
463680,5973840,20.309235,0.490196,20.284668,0.454545,312,4,1918.59326,43.924152,60.099621
460140,5974110,20.371826,0.495327,20.731415,0.435294,312,4,256.320099,49.125694,64.865021
454950,5974200,27.140656,0.034483,30.292969,0.111111,312,4,60,46.80386,62.800541
454440,5974380,25.492157,0.130435,28.751221,0.180723,312,4,67.082039,46.484791,62.513515
462780,5974860,22.319397,0.417476,22.561615,0.382716,312,4,590.931458,48.235435,64.083435
464880,5976390,20.881195,0.425287,20.826569,0.350649,312,4,593.969727,39.511894,56.225971
469920,5978220,19.068512,0.58209,20.057007,0.524752,311,4,2087.10327,52.659637,67.913696
476760,5982870,20.567352,0.425743,21.02887,0.390244,312,4,540.832703,47.416397,63.3661
472740,5962620,-999,-999,21.684509,0.487179,411,5,16275.8506,48.346813,64.160172
472830,5962890,-999,-999,19.397827,0.546875,411,5,16108.6309,48.344063,64.158165
472980,5964270,-999,-999,21.146667,0.457627,411,5,15066.0049,48.368385,64.18335
473070,5964390,-999,-999,21.260712,0.465517,411,5,15024.5801,48.335098,64.153824
474660,5965290,-999,-999,23.296295,0.433962,112,2,15365.4482,46.838936,62.787415
474120,5965470,-999,-999,31.315216,0.037037,112,2,14866.748,48.995293,64.738052
472860,5965560,-999,-999,29.69812,0.211538,211,3,13977.875,47.58757,63.493176
473190,5965680,-999,-999,35.360077,0.017857,211,3,14096.9355,48.335052,64.159264
473400,5965830,-999,-999,34.858215,0.024793,211,3,14119.3271,47.643154,63.545898
473100,5966070,-999,-999,28.012848,0.294118,211,3,13741.5068,49.040283,64.77861
473580,5966070,-999,-999,32.489227,0.102804,211,3,14059.5381,48.844635,64.607407
474780,5966070,-999,-999,30.886841,0.266055,112,2,14873.4658,49.043224,64.774979
472500,5966100,-999,-999,28.751221,0.08,211,3,13332.4941,47.325806,63.254307
473550,5966310,-999,-999,33.346283,0.018519,211,3,13862.3701,48.746132,64.522758
474660,5966310,-999,-999,31.824615,-0.073171,112,2,14614.6504,47.760605,63.646099
474330,5966610,-999,-999,28.184235,0.45614,112,2,14170.96,48.54792,64.34774
473580,5967060,-999,-999,25.218475,0.311828,231,3,13337.9941,48.265839,64.09375
